"date","depth","temp","month_label"
2022-01-15,2,3.60705208333333,"Jan"
2022-01-15,5,3.600625,"Jan"
2022-01-15,10,3.7835625,"Jan"
2022-01-15,15,3.84682291666667,"Jan"
2022-01-15,20,3.95885416666667,"Jan"
2022-01-15,30,3.98692708333333,"Jan"
2022-01-15,40,4.49583333333333,"Jan"
2022-04-15,2,4.149625,"Apr"
2022-04-15,5,3.89604166666667,"Apr"
2022-04-15,10,3.69095833333333,"Apr"
2022-04-15,15,3.53407291666667,"Apr"
2022-04-15,20,3.44026041666667,"Apr"
2022-04-15,30,3.31659375,"Apr"
2022-04-15,40,3.50833333333333,"Apr"
