"product","Year","Sugar","Glucose","Coffee_substitute","Seed_oil","Ethyl_alcohol_1","Ethyl_alcohol_2","Beer","pop"
"beer_pop",1943,NA,NA,NA,NA,NA,NA,NA,NA
"beer_pop",1944,54413,28976,128462,84029,86390,146601,346848,3
"beer_pop",1945,18077,62397,83933,271496,39773,151398,696439,7
"beer_pop",1946,254687,78645,97530,339522,203143,132982,897949,9
"beer_pop",1947,220304,57225,89380,413169,193723,188367,918518,9
"beer_pop",1948,410494,121063,103087,571947,251470,275093,892111,9
"beer_pop",1949,454546,192595,105869,474509,310462,375042,1199762,12
"beer_pop",1950,597107,218604,115039,457388,285128,363776,1382979,14
"beer_pop",1951,655009,227449,123416,448470,319301,337499,1167044,11
"beer_pop",1952,669051,253014,128091,376320,386940,437719,1478771,15
"beer_pop",1953,686729,279387,141446,457420,436569,337850,1342183,13
"beer_pop",1954,790513,317961,159822,459640,326814,391002,1410980,14
"beer_pop",1955,1077484,334918,172180,687403,290089,428871,1534311,15
"beer_pop",1956,898566,359535,182679,1049796,393031,421617,1675801,17
"beer_pop",1957,778167,406673,186281,1044656,428450,547613,1697474,17
"beer_pop",1958,1009135,428429,193462,1148094,496807,420748,1958842,19
"beer_pop",1959,1292526,428328,189833,1343863,481095,700265,2071089,20
"beer_pop",1960,918302,433336,188266,1335098,384850,835143,2488889,25
"beer_pop",1961,903013,496896,183403,1599674,494437,630798,3053887,30
"beer_pop",1962,917424,537870,179970,1903364,444516,661561,3779407,37
"beer_pop",1963,840267,597351,181366,2507478,449596,1016713,3687295,36
"beer_pop",1964,993762,591872,172676,2599755,491368,818807,4283181,42
"beer_pop",1965,1142129,624238,181129,2949217,501291,858307,4547342,45
"beer_pop",1966,1234767,650902,172108,3540694,436304,694943,5178506,51
"beer_pop",1967,1542829,709165,162839,4037762,501578,669081,5552503,55
"beer_pop",1968,1186849,789335,160960,3632629,640726,925525,5383907,53
"beer_pop",1969,1273732,885189,168812,3735069,680879,1006801,5748391,57
