"source_city_name","source_lng","source_lat","source_country_name","source_country_code","source_continent","target_city_name","target_lng","target_lat","target_country_name","target_country_code","target_continent"
"Gangneung",128.896111111,37.755555555,"South Korea","KR","Asia","Chichibu",139.085472222,35.991777777,"Japan","JP","Asia"
"Pasadena",-118.131944444,34.156111111,"United States of America","US","North America","Mishima",138.918555555,35.1185,"Japan","JP","Asia"
"Corning",-77.056944444,42.148055555,"United States of America","US","North America","Kakegawa",137.998388888,34.76875,"Japan","JP","Asia"
"Eureka",-124.163611111,40.801944444,"United States of America","US","North America","Kamisu",140.664527777,35.889944444,"Japan","JP","Asia"
"Wuhu",118.36223,31.33398,"China","CN","Asia","Kochi",133.531222222,33.558833333,"Japan","JP","Asia"
"Cologne",6.957777777,50.942222222,"Germany","DE","Europe","Kyoto",135.768111111,35.011611111,"Japan","JP","Asia"
"Atlanta",-84.390277777,33.756944444,"United States of America","US","North America","Fukuoka",130.401666666,33.59,"Japan","JP","Asia"
"Barcelona",2.176944444,41.3825,"Spain","ES","Europe","Busan",129.075,35.18,"South Korea","KR","Asia"
"Algiers",3.058611111,36.776388888,"Algeria","DZ","Africa","Daejeon",127.385,36.35,"South Korea","KR","Asia"
"Casablanca",-7.62,33.599166666,"Morocco","MA","Africa","Busan",129.075,35.18,"South Korea","KR","Asia"
"Vladivostok",131.885277777,43.115,"Russia","RU","Europe","Busan",129.075,35.18,"South Korea","KR","Asia"
"Vladivostok",131.885277777,43.115,"Russia","RU","Europe","Incheon",126.648611111,37.463888888,"South Korea","KR","Asia"
"Almaty",76.915,43.24,"Kazakhstan","KZ","Asia","Daegu",128.601666666,35.871666666,"South Korea","KR","Asia"
"Uppsala",17.638946597,59.849760548,"Sweden","SE","Europe","Daejeon",127.385,36.35,"South Korea","KR","Asia"
"Kinshasa",15.311944444,-4.321944444,"Dem. Rep. Congo","CD","Africa","Incheon",126.648611111,37.463888888,"South Korea","KR","Asia"
"Mumbai",72.8775,19.075833333,"India","IN","Asia","Busan",129.075,35.18,"South Korea","KR","Asia"
"Kolkata",88.3638815,22.5726723,"India","IN","Asia","Incheon",126.648611111,37.463888888,"South Korea","KR","Asia"
"Auckland",174.765277777,-36.849166666,"New Zealand","NZ","Oceania","Busan",129.075,35.18,"South Korea","KR","Asia"
"Oda",132.499361111,35.192083333,"Japan","JP","Asia","Daejeon",127.385,36.35,"South Korea","KR","Asia"
"Hagi",131.399166666,34.408111111,"Japan","JP","Asia","Ulsan",129.316666666,35.55,"South Korea","KR","Asia"
"Philadelphia",-75.163611111,39.952777777,"United States of America","US","North America","Incheon",126.648611111,37.463888888,"South Korea","KR","Asia"
"Tijuana",-117.037155,32.536447,"Mexico","MX","North America","Busan",129.075,35.18,"South Korea","KR","Asia"
"Montevideo",-56.166666666,-34.866666666,"Uruguay","UY","South America","Ulsan",129.316666666,35.55,"South Korea","KR","Asia"
"Chengdu",104.063333333,30.66,"China","CN","Asia","Daegu",128.601666666,35.871666666,"South Korea","KR","Asia"
"Yokohama",139.634222222,35.450333333,"Japan","JP","Asia","Busan",129.075,35.18,"South Korea","KR","Asia"
"Yokohama",139.634222222,35.450333333,"Japan","JP","Asia","Incheon",126.648611111,37.463888888,"South Korea","KR","Asia"
"Montreal",-73.5868411,45.5033426,"Canada","CA","North America","Busan",129.075,35.18,"South Korea","KR","Asia"
"Istanbul",28.960277777,41.01,"Turkey","TR","Asia","Busan",129.075,35.18,"South Korea","KR","Asia"
"Los Angeles",-118.24368,34.05223,"United States of America","US","North America","Busan",129.075,35.18,"South Korea","KR","Asia"
"Plovdiv",24.741454,42.142086,"Bulgaria","BG","Europe","Daegu",128.601666666,35.871666666,"South Korea","KR","Asia"
"Dubai",55.309444444,25.269722222,"United Arab Emirates","AE","Asia","Busan",129.075,35.18,"South Korea","KR","Asia"
"Narita",140.318333333,35.776666666,"Japan","JP","Asia","Incheon",126.648611111,37.463888888,"South Korea","KR","Asia"
"Kobe",135.195444444,34.690166666,"Japan","JP","Asia","Incheon",126.648611111,37.463888888,"South Korea","KR","Asia"
"Manila",120.977222222,14.595833333,"Philippines","PH","Asia","Busan",129.075,35.18,"South Korea","KR","Asia"
"Manila",120.977222222,14.595833333,"Philippines","PH","Asia","Incheon",126.648611111,37.463888888,"South Korea","KR","Asia"
"Ho Chi Minh City",106.701944444,10.775555555,"Vietnam","VN","Asia","Busan",129.075,35.18,"South Korea","KR","Asia"
